,Negative_reviews
196,"no outside pressure no deadline just a blank screen but better than a 2 inch pencil a chewed eraserhead turned into stone the cocktail napkin with growing blood drops from the metal cutting my hand between my index finger and thumb and only 4 dollars left and a beer is 5 :  
"
197,"editing on phone has a terrible lag time i have to use the website if i want to have anything done at first i thought it was my old phones fault but now i have a new one and that same problem is still there so i figure it must be the app :  
"
198,"doesnt have the full functionality of the desktop app but that would be asking for too much inserting pictures from phone gives error messages so you first have to upload the picture to the media area and insert it from there :  
"
199,"not able to upload single image :  
"
200,"need option for keyword phrase :  
"
201,"i love the app very user friendly but since the last update i am unable to check my stats it just flakes a white screen and then returns to the home screen :  
"
202,"i dont use wordpress a lot but i appreciate the functionality of it it is featurepacked and contains all that is required to kickstart and maintain a blog :  
"
203,"do my selfhosted wp sites have to be connected with paid jetpack to use this app integratedly why are there too many not loaded in the tabs or i missed something sorry i rather use wp manually from browser its just not as powerful and versatile as i thought :  
"
204,"bad very slow to input a new post :  
"
205,"havent had an issues with it so far site has been up and running since mid december now i dont pay for any domains etc and this is exactly the app i needed :  
"
206,"being absolutely honest ive not had the time to fully explore the range of what is at my disposal on site which i wholly regret as the initial reason for joining was to create as i love writing from thought experience the little i have digested tells me i wouldnt be disappointed ab :  
"
207,"i was enjoying wordpress until recently now i cant publish posts or reply comments jetpack problems :  
"
208,"the app is buggy show errors frequently also a mobile phone is very limited in terms of blogging one cannot do anything without a pc :  
"
209,"is there an option to make classic editor the default setting the block editor doesnt consistently work as it should i get problem displaying block a lot i also personally prefer the classic editor :  
"
210,"hard to navigate hard to figure out ive had this app for over a year now still cant figure out much of anything and takes hours to do anything i can only do minimal on my page it sucks hate it :  
"
211,"creating a post by sharing a website etc doesnt work the post doesnt have a title changes to posts often fail to upload the list of posts takes a long time to load and update :  
"
212,"wow i cant even upload a picture keeps saying failed restart the phone and it still doesnt work not sure whats so hard about making an app that allows you to upload pictures :  
"
213,"its good app but i need to rearrange the format suchlike fonts spaces etc when i move my file from ms words to this app :  
"
214,"after using for 5 mins the app becomes so slow that it actually makes my phone crash no other app does this not sure what causes it but extremely annoying :  
"
215,"i cant at my credit card im in cameroon and i want to use mtn mobile money account as a payment method :  
"
216,"works approximately some buttons do nothing so why are they there :  
"
217,"my experience is awesome im getting a lot of feedback the only problem i have is that the app keeps freezing up but thats okay ill redownload it :  
"
218,"awful the app does not sync well at all this resulted in one of my drafts being lost because it could not upload please fix :  
"
219,"good but often fails to open when i follow the link from my social media sites and it frustrates me :  
"
220,"its cool but delay in upload i cant update my apps :  
"
221,"i constantly have trouble sharing my blog links on social media such as facebook the app itself is clumsy paid for it already so im stuck for a year :  
"
222,"i just wish it wouldnt open my samsung browser when customizing my site oh i also think itd be better by not searching while im typing in the word :  
"
223,"seems okay but i cant find a way to justify text in blog posts and it lacks the markup functionality of the browser version :  
"
224,"i like the ui and ease of use my issue is with uploading media i have failed to upload media numerous times :  
"
225,"this platform is disappointing and unreliable everything hangs up its basic functions sucks its way overated ive seen better prior to the internet :  
"
226,"for writing its good but u dont get traffic easily :  
"
227,"as soon as you type a space you have to wait for about 20 sec before you can continue extremely unusable :  
"
228,"still having problem with slug as my blog is in bengali language i change the slug to urlfriendly english but everytime i update post in mobile the slug gets reset to default one :  
"
229,"this app used to work fine and has updated to include new functionality but since the last 2 updates it crashes everytime i try to do anything in it now its unusable :  
"
230,"the options to adjust picture are lacking other than that i dont have any complaints yet :  
"
231,"i want to say that please add a justify button for align text full :  
"
232,"cant upload images i use a photography theme for wordpress and whenever i try to upload images 95 of the uploads fail :  
"
233,"i cant access my admin and customize my site why :  
"
